topic,topic_distribution
10,"{'credit': np.float64(0.9860157601086343), 'assessment': np.float64(0.11901524195041696), 'authority': np.float64(0.058736379808796195), 'approval': np.float64(0.049358132952970424), 'approved': np.float64(0.048215431925255015), 'valuation': np.float64(0.041732646311644736), 'associated': np.float64(0.03736754086683732), 'master': np.float64(0.021905039946466708), 'principal': np.float64(0.018622463699176296), 'audit': np.float64(0.018391744912554166), 'major': np.float64(0.01671674501023089), 'grade': np.float64(0.014248465746226478), 'professional': np.float64(0.012717710362749058), 'advanced': np.float64(0.010919102068903999), 'education': np.float64(0.009155974209665263), 'scientific': np.float64(0.009155865346318508), 'eur': np.float64(0.007861563272043414), 'authorized': np.float64(0.005349565467055099), 'degree': np.float64(0.004344283712069536), 'course': np.float64(0.004250425392493096), 'qualification': np.float64(0.003804816504443969), 'civil': np.float64(0.003100666220743862), 'qualified': np.float64(0.0015526996707112871), 'earning': np.float64(0.0015091996310052525), 'secondary': np.float64(0.0011744423707810369), 'adult': np.float64(0.0011686747683052993), 'engineering': np.float64(0.0011685006333347068), 'exam': np.float64(0.0007723744813055638), 'career': np.float64(0.0007419511375368285), 'candidate': np.float64(0.0007144593904969422), 'graduate': np.float64(0.0007144593904969422), 'certificate': np.float64(0.0004809585180472709), 'academy': np.float64(0.000392261388171928), 'accredited': np.float64(0.0003907780133524865), 'disciplinary': np.float64(0.0003907780133524865), 'academic': np.float64(0.00035722969524854025), 'school': np.float64(0.0003572296952484711), 'associate': np.float64(0.00016891390316918828), 'award': np.float64(0.00014208807876759448), 'study': np.float64(0.00014184554932058252), 'accreditation': np.float64(0.0001237288227987999), 'english': np.float64(4.1245206462132786e-05)}"
11,"{'increase': np.float64(0.9698675961168416), 'advance': np.float64(0.12372539755257712), 'increasing': np.float64(0.11363651439521419), 'improve': np.float64(0.07602139160720249), 'promote': np.float64(0.07133058408190092), 'enhance': np.float64(0.07032093845304214), 'move': np.float64(0.0664775019337897), 'generate': np.float64(0.06249618229456896), 'facilitates': np.float64(0.046220237784212095), 'drive': np.float64(0.04303276149294643), 'facilitate': np.float64(0.03404046006995486), 'accelerate': np.float64(0.02877898368910169), 'quickly': np.float64(0.014427639551483722), 'accelerated': np.float64(0.013478931352768618), 'swiftly': np.float64(0.012355862820780742), 'enhances': np.float64(0.012101425018368289), 'strengthen': np.float64(0.008162245027611132), 'rapidly': np.float64(0.007816775061357459), 'accelerating': np.float64(0.0065192937253614825), 'escalate': np.float64(0.006307319067681402), 'exacerbated': np.float64(0.005189427602321775), 'faster': np.float64(0.004738486023800132), 'broaden': np.float64(0.0032968229427204495), 'multiply': np.float64(0.0032968229427204495), 'propel': np.float64(0.0032968229427204495), 'amplifying': np.float64(0.0029279823340775863), 'increasd': np.float64(0.0029279823340775863), 'incentivize': np.float64(0.002261445268244188), 'engage': np.float64(0.0020805236353669456), 'enforce': np.float64(0.0020078630025098187), 'fast': np.float64(0.0018212313438334003), 'encourage': np.float64(0.001560669697978016), 'initiate': np.float64(0.0011851291085902408), 'tighten': np.float64(0.001117891465359628), 'boost': np.float64(0.0010171904383564192), 'rapid': np.float64(0.001001807898921568), 'speed': np.float64(0.0006982624764767009), 'acceleration': np.float64(0.0003950430361967468), 'advancing': np.float64(0.0003950430361967468), 'sharpen': np.float64(0.0003950430361967468), 'intensifying': np.float64(0.00022138911630919416), 'spurred': np.float64(0.00022138911630919416), 'intensified': np.float64(0.00014364788208693532), 'accretive': np.float64(0.00012721890120622874), 'mobilize': np.float64(0.00012721890120622874), 'catalyze': np.float64(0.00011183636177137736)}"
12,"{'fair': np.float64(0.8569424483654818), 'expected': np.float64(0.3646304154490398), 'eligible': np.float64(0.21881484219087438), 'appropriate': np.float64(0.2061089687170317), 'preferred': np.float64(0.12265331574800203), 'validation': np.float64(0.07854137757142743), 'recognized': np.float64(0.06474796010238483), 'supported': np.float64(0.060981401907313854), 'adequate': np.float64(0.05409370427968024), 'good': np.float64(0.04734472640090765), 'agreed': np.float64(0.04157112138009307), 'possible': np.float64(0.03734769443914717), 'accepted': np.float64(0.03208441651814043), 'best': np.float64(0.03149503235796183), 'anticipated': np.float64(0.027476127819612943), 'reasonable': np.float64(0.02621032586715459), 'acceptable': np.float64(0.01875085807648581), 'normal': np.float64(0.017715834378014123), 'suitable': np.float64(0.014157932186809939), 'acceptance': np.float64(0.012563438997841422), 'approve': np.float64(0.011058076989365544), 'valid': np.float64(0.011058076989365544), 'reasonably': np.float64(0.008293685403332699), 'successful': np.float64(0.00724129157532333), 'compatible': np.float64(0.007034400503158647), 'validate': np.float64(0.004023676486206898), 'accepting': np.float64(0.0006205159545954573), 'correct': np.float64(0.0004633711537849361), 'accepts': np.float64(0.00031025797729772867), 'safe': np.float64(0.00016723338774880735), 'satisfactory': np.float64(6.871554527352125e-05), 'ordinary': np.float64(3.0894353999394007e-05), 'decent': np.float64(3.762301241236368e-06)}"
13,"{'contingent': np.float64(0.692237263657998), 'failure': np.float64(0.3546151445907723), 'intended': np.float64(0.2517858774570806), 'automated': np.float64(0.21115757919118555), 'contingency': np.float64(0.2109080075997148), 'indirect': np.float64(0.20959327980109502), 'inherent': np.float64(0.20726902358959182), 'incident': np.float64(0.19126724863573766), 'unexpected': np.float64(0.1714231731524552), 'caused': np.float64(0.14462773933386067), 'incurred': np.float64(0.11681733766882652), 'accounted': np.float64(0.10956210053765189), 'natural': np.float64(0.08328228351693531), 'triggering': np.float64(0.08098473084249937), 'accrued': np.float64(0.08064238062195636), 'incorrect': np.float64(0.06772834232149004), 'disaster': np.float64(0.06635344522933023), 'unauthorized': np.float64(0.04902189820853076), 'discretionary': np.float64(0.046428397968045695), 'automatically': np.float64(0.04521922115497791), 'attributed': np.float64(0.04246790082509585), 'sudden': np.float64(0.03694841537591263), 'automatic': np.float64(0.03327318728436769), 'unforeseeable': np.float64(0.030779926945577414), 'occurring': np.float64(0.023750045959677953), 'random': np.float64(0.023735185587459982), 'unintentional': np.float64(0.01720745932870167), 'unknown': np.float64(0.01634063273617693), 'episodic': np.float64(0.014089482716234865), 'triggered': np.float64(0.011687973879518442), 'acquired': np.float64(0.009436573533671761), 'unconscious': np.float64(0.007044741358117433), 'unrelated': np.float64(0.007044741358117433), 'voluntarily': np.float64(0.007044741358117433), 'deliberate': np.float64(0.0061684884303352065), 'accidental': np.float64(0.006168488430335129), 'auto': np.float64(0.0030842442151676032), 'accruing': np.float64(0.00024092205730707697), 'happening': np.float64(0.00019716785256578923), 'unauthorised': np.float64(0.00019716785256578923), 'unpredictable': np.float64(4.1361151673256324e-05)}"
14,"{'allowance': np.float64(0.5707399088605435), 'agreement': np.float64(0.4253108107256607), 'adjustment': np.float64(0.4133331272004898), 'provision': np.float64(0.3273616873079849), 'support': np.float64(0.260446668245679), 'accordance': np.float64(0.20015084324533108), 'compliance': np.float64(0.19527534428939153), 'provided': np.float64(0.16263173790065386), 'settlement': np.float64(0.12534519067389377), 'meeting': np.float64(0.08853778375537295), 'compensation': np.float64(0.08536023165272733), 'alignment': np.float64(0.06390537429907692), 'arrangement': np.float64(0.05849856916263685), 'accommodation': np.float64(0.04187434012082309), 'reallocation': np.float64(0.026964049723551764), 'location': np.float64(0.024038074642154524), 'cooperation': np.float64(0.017538998490139745), 'facilitating': np.float64(0.017537883270458302), 'facilitation': np.float64(0.014461161211365377), 'housing': np.float64(0.014041289855398343), 'rental': np.float64(0.009997343713350175), 'offering': np.float64(0.009574342954940286), 'comfort': np.float64(0.008737861216073986), 'hospitality': np.float64(0.00871793871034613), 'fit': np.float64(0.005963072394226622), 'vacancy': np.float64(0.005734442496796272), 'concession': np.float64(0.003920688526861752), 'hotel': np.float64(0.0033384116627122418), 'compromise': np.float64(0.002316119558370455), 'relocation': np.float64(0.0018471770103060162), 'booking': np.float64(0.0017476620277652782), 'adjustments²': np.float64(0.001733708106226082), 'booked': np.float64(0.001733708106226082), 'sponsorship': np.float64(0.001733708106226082), 'sharing': np.float64(0.0001635802956347731), 'adaptation': np.float64(9.598185846098852e-05), 'staying': np.float64(9.598185846098852e-05), 'accompanying': np.float64(5.1033962416533645e-05)}"
15,"{'following': np.float64(0.7402367095676539), 'included': np.float64(0.4453874941746641), 'taken': np.float64(0.2854252923144159), 'according': np.float64(0.2611037986531471), 'combined': np.float64(0.20690537367964495), 'together': np.float64(0.13300175243202322), 'complemented': np.float64(0.11479286905207056), 'conducted': np.float64(0.11039665344183533), 'experienced': np.float64(0.060799966010050915), 'carried': np.float64(0.054913430011528555), 'called': np.float64(0.051385627728248895), 'went': np.float64(0.04086669725911285), 'overseen': np.float64(0.03950888847710224), 'audited': np.float64(0.03317951313765699), 'come': np.float64(0.03153221068655737), 'brought': np.float64(0.026924065961710843), 'carry': np.float64(0.02624618314093754), 'supervised': np.float64(0.02603382096806294), 'participated': np.float64(0.018185776554434235), 'coordinated': np.float64(0.017297197746701333), 'joined': np.float64(0.013492698096702326), 'passed': np.float64(0.01301691048403147), 'sponsored': np.float64(0.01301691048403147), 'followed': np.float64(0.010091809444102508), 'came': np.float64(0.006893831479529668), 'attached': np.float64(0.005031676439062413), 'helped': np.float64(0.004425088080429069), 'navigated': np.float64(0.0037928497262421095), 'encouraged': np.float64(0.003552059728193876), 'piloted': np.float64(0.0031979779645728386), 'attended': np.float64(0.0031344843887939583), 'accompanied': np.float64(0.003124132672177248), 'arranged': np.float64(0.0004879641127941635), 'guided': np.float64(0.0004059545001349398), 'affiliated': np.float64(0.00011678977267552282)}"
16,"{'make': np.float64(0.6248807425665125), 'obtained': np.float64(0.3746029642567384), 'achieve': np.float64(0.373021000118507), 'achieved': np.float64(0.3588451464474123), 'become': np.float64(0.17838057388338086), 'fulfill': np.float64(0.16415830913987603), 'completed': np.float64(0.15819612054771912), 'execute': np.float64(0.15818624393614533), 'fulfil': np.float64(0.13307197055953504), 'goal': np.float64(0.1109460659014036), 'successfully': np.float64(0.10969321211691362), 'reached': np.float64(0.10216615087580391), 'strives': np.float64(0.08334914609335671), 'fulfilled': np.float64(0.08193126334292505), 'undertaking': np.float64(0.06357043997727332), 'satisfy': np.float64(0.06178368290906556), 'pursue': np.float64(0.05843307650301035), 'completeness': np.float64(0.05695178863229835), 'achieving': np.float64(0.055843624137840164), 'strive': np.float64(0.04743474561566055), 'prove': np.float64(0.04412917544994288), 'undertake': np.float64(0.04007225313735863), 'ascertain': np.float64(0.028944653488971142), 'success': np.float64(0.02872513896631111), 'fulfilling': np.float64(0.01736839061012723), 'happen': np.float64(0.01622307238835939), 'conclude': np.float64(0.015815804872773977), 'resolve': np.float64(0.011806876526647208), 'satisfying': np.float64(0.010000536901007858), 'done': np.float64(0.0062156405133273526), 'accomplish': np.float64(0.006091467868360459), 'succeeded': np.float64(0.005544940108161511), 'realise': np.float64(0.004643578808677165), 'achieves': np.float64(0.004008928346126771), 'attained': np.float64(0.002477900536160546), 'surpass': np.float64(0.0019826802087543156), 'surpassed': np.float64(0.001961652275499729), 'completing': np.float64(0.0015360117620347405), 'endeavor': np.float64(0.0015360117620347405)}"
17,"{'respective': np.float64(0.706735238521403), 'additionally': np.float64(0.3694716786606625), 'furthermore': np.float64(0.2555556693282033), 'corresponding': np.float64(0.23468866690948825), 'respectively': np.float64(0.20483110172384594), 'thereby': np.float64(0.18840664014070813), 'however': np.float64(0.16835871851200085), 'closely': np.float64(0.1488431606982157), 'subsequently': np.float64(0.14021526086777367), 'therefore': np.float64(0.12302307348708745), 'adequately': np.float64(0.1194255597219555), 'appropriately': np.float64(0.11183150643332163), 'accordingly': np.float64(0.09601618081822827), 'namely': np.float64(0.087657121900765), 'specifically': np.float64(0.08090567689099876), 'thus': np.float64(0.07966102495088039), 'systematically': np.float64(0.06917990453955548), 'consistently': np.float64(0.05405597832608704), 'congruent': np.float64(0.05202656615542409), 'moreover': np.float64(0.050157973044274703), 'hence': np.float64(0.04788754349601877), 'consequently': np.float64(0.04704742212570343), 'commensurate': np.float64(0.04180562138614136), 'similarly': np.float64(0.040091242833418896), 'correspondingly': np.float64(0.02830082465383153), 'correctly': np.float64(0.02471365443098714), 'correspond': np.float64(0.024027191216527407), 'thereon': np.float64(0.020026625521778352), 'accurately': np.float64(0.017091966955154223), 'corresponded': np.float64(0.01693341176363125), 'thereupon': np.float64(0.016246948549171514), 'properly': np.float64(0.009964235944018593), 'pertaining': np.float64(0.00931172428779833), 'relatively': np.float64(0.005954118440649474), 'anyhow': np.float64(0.004193072444511504), 'appropriateness': np.float64(0.004193072444511504), 'precisely': np.float64(0.004193072444511504), 'promptly': np.float64(0.004193072444511504), 'conforms': np.float64(0.0008450184059827051), 'likewise': np.float64(0.0008450184059827051), 'meanwhile': np.float64(0.0004124333702625749), 'disproportionately': np.float64(9.165006094572402e-05), 'alternatively': np.float64(7.092871179939747e-05), 'thereafter': np.float64(7.092871179939747e-05), 'indeed': np.float64(4.5313433733194215e-05)}"
18,"{'asset': np.float64(0.8632620426540493), 'report': np.float64(0.42495149555960593), 'control': np.float64(0.21253508617073721), 'account': np.float64(0.08538636375343206), 'accounting': np.float64(0.08061286062947076), 'finance': np.float64(0.056145501524462696), 'act': np.float64(0.054994450794019316), 'cover': np.float64(0.046590316842032034), 'reported': np.float64(0.04623440086065793), 'inventory': np.float64(0.03304075968321756), 'aggregate': np.float64(0.03202705815232293), 'allocated': np.float64(0.02963482450689659), 'calculate': np.float64(0.024822392014505385), 'claim': np.float64(0.022647874425660568), 'administration': np.float64(0.015903899436756738), 'accountable': np.float64(0.012794030113515814), 'accountability': np.float64(0.009119500109385531), 'record': np.float64(0.006714112924722089), 'registration': np.float64(0.005341491874032426), 'verify': np.float64(0.004543971267644783), 'analytics': np.float64(0.0035827690006007386), 'ownership': np.float64(0.002507048970273039), 'check': np.float64(0.002321882750986495), 'agenda': np.float64(0.0015536689117369763), 'count': np.float64(0.0012310791925403879), 'owns': np.float64(0.0007487646238897466), 'accrual': np.float64(0.0006954654467257621), 'compute': np.float64(0.0006954654467257621), 'auditable': np.float64(0.0005285068276335985), 'occ': np.float64(0.0004636436311505081), 'receipt': np.float64(0.000426805346310306), 'bookkeeping': np.float64(0.00018757239175269867), 'accountant': np.float64(7.095404239774837e-05), 'commit': np.float64(4.067159076569013e-05), 'wallet': np.float64(3.805510992108942e-05), 'cont': np.float64(2.4625327195076245e-05), 'commerce': np.float64(1.6046263570613897e-05), 'login': np.float64(1.6046263570613897e-05)}"
19,"{'amortized': np.float64(0.8565111488519573), 'purchased': np.float64(0.31368297945007373), 'consolidated': np.float64(0.267036194938907), 'amounted': np.float64(0.1833324472154952), 'assessed': np.float64(0.1560679566648102), 'deferred': np.float64(0.12367473724565839), 'recorded': np.float64(0.10342065261454994), 'aggregated': np.float64(0.07135518812745985), 'retained': np.float64(0.06493809093268436), 'accumulated': np.float64(0.03703373887761481), 'invested': np.float64(0.020411071978946614), 'matured': np.float64(0.018516869438807353), 'cumulative': np.float64(0.016858403300390543), 'compensated': np.float64(0.016722155518490385), 'capitalized': np.float64(0.016309129460150527), 'counted': np.float64(0.011557649427786683), 'pooled': np.float64(0.010596534822588124), 'incurring': np.float64(0.009258434719403677), 'compiled': np.float64(0.007199953721005019), 'composed': np.float64(0.005190814578727518), 'realized': np.float64(0.004076370194267534), 'valued': np.float64(0.0033398397690691437), 'deposited': np.float64(0.0023703376390705366), 'noncumulative': np.float64(0.0022992147083830045), 'annualized': np.float64(0.002282453265175067), 'summed': np.float64(0.0005923851619615098), 'amortised': np.float64(0.0002555496321023799), 'debited': np.float64(0.00020443970568190397), 'spent': np.float64(6.452394842931802e-05), 'unearned': np.float64(5.110992642047599e-05), 'gathered': np.float64(6.8477175146840065e-06)}"
20,"{'quality': np.float64(0.8860721428626934), 'probability': np.float64(0.40315900273771754), 'effectiveness': np.float64(0.1307226974622257), 'confidence': np.float64(0.09760397184824232), 'accurate': np.float64(0.0957124850550178), 'efficiency': np.float64(0.092219624285392), 'imprecision': np.float64(0.044344992234667625), 'efficient': np.float64(0.04329117209462012), 'fact': np.float64(0.04051943043983639), 'validated': np.float64(0.033304568046300324), 'worthiness': np.float64(0.015858712015053858), 'consistency': np.float64(0.013986560901842377), 'certainty': np.float64(0.013516687696679087), 'verification': np.float64(0.0130974414097232), 'credibility': np.float64(0.012795366413523291), 'correctness': np.float64(0.012627568204559911), 'reliably': np.float64(0.012627568204559911), 'confirmation': np.float64(0.008891194921191769), 'precise': np.float64(0.005831111878357101), 'trusted': np.float64(0.005723403990047497), 'robustness': np.float64(0.004666342750201945), 'precision': np.float64(0.0032311438104939464), 'liable': np.float64(0.0017782389842383533), 'reliability': np.float64(0.0010528753937960103), 'reliable': np.float64(0.0006981958073724551), 'validity': np.float64(0.0004698732051632875), 'verified': np.float64(0.00016779820896338006), 'accuracy': np.float64(0.00012445840942048114), 'timeliness': np.float64(8.29705223105716e-05)}"
21,"{'recognition': np.float64(0.6470930631650683), 'granted': np.float64(0.4322198943194083), 'pledged': np.float64(0.4034802106820984), 'announced': np.float64(0.29026815743701906), 'derecognized': np.float64(0.25022631999248035), 'addressed': np.float64(0.16723642697187852), 'disclosed': np.float64(0.14674020196816517), 'noted': np.float64(0.12420055621318929), 'recognize': np.float64(0.07035031195581226), 'understood': np.float64(0.05463350612789603), 'recognizes': np.float64(0.05436492652273347), 'recognizing': np.float64(0.04522466699694016), 'acknowledgement': np.float64(0.044826600349084665), 'honored': np.float64(0.044826600349084665), 'appraised': np.float64(0.03746656420405541), 'recognised': np.float64(0.019917887849281238), 'derecognised': np.float64(0.016315538253928924), 'acknowledged': np.float64(0.013527791992956907), 'respected': np.float64(0.013524559946802878), 'advertised': np.float64(0.012963592901955484), 'welcomed': np.float64(0.012963592901955484), 'endorsed': np.float64(0.009194955928378908), 'appreciating': np.float64(0.004054017352305542), 'recognises': np.float64(0.0031379432535507882), 'acknowledging': np.float64(0.0027192563756548195), 'detected': np.float64(0.0027192563756548195), 'notified': np.float64(0.0027192563756548195), 'appreciated': np.float64(0.002003111457744523), 'recognise': np.float64(0.001384199127816364), 'responded': np.float64(0.001384199127816364), 'celebrated': np.float64(0.0008800811305537351), 'granting': np.float64(0.0005609670448473922), 'reaffirmed': np.float64(0.0005609670448473922), 'appreciation': np.float64(0.00041868687789596776), 'cognisant': np.float64(0.00041868687789596776)}"
22,"{'addition': np.float64(0.6911397432071027), 'assumption': np.float64(0.48691162688281237), 'taking': np.float64(0.3693321046589379), 'making': np.float64(0.2317307499320814), 'acquisition': np.float64(0.20832233383178733), 'repurchase': np.float64(0.13211722199982195), 'bought': np.float64(0.11426859341642574), 'conditioning': np.float64(0.09110274289606635), 'consolidation': np.float64(0.06316119914309624), 'purchase': np.float64(0.06298070007135848), 'capturing': np.float64(0.04948637531043286), 'learning': np.float64(0.024793761998594663), 'adoption': np.float64(0.020697613716350684), 'obtaining': np.float64(0.01823627135603001), 'buying': np.float64(0.01650603140216093), 'creating': np.float64(0.016475386617293416), 'possession': np.float64(0.015183790482677725), 'advancement': np.float64(0.011433274647626232), 'activation': np.float64(0.008928456747451519), 'articulation': np.float64(0.008179999937369996), 'hiring': np.float64(0.00650654942051246), 'onboarding': np.float64(0.005409313242699571), 'recruiting': np.float64(0.00325327471025623), 'recruitment': np.float64(0.00325327471025623), 'creation': np.float64(0.0009565378941361834), 'purchasing': np.float64(0.0007484568100815177), 'aspiration': np.float64(0.0007379521093927576), 'takeover': np.float64(0.0003932135118779075), 'adopting': np.float64(0.00037935786112697147), 'dealing': np.float64(0.00021462021062596274)}"
23,"{'within': np.float64(0.5469875209458464), 'across': np.float64(0.5133454168903531), 'exchange': np.float64(0.48513703713599465), 'global': np.float64(0.2582494448677605), 'wide': np.float64(0.22158745316159664), 'forward': np.float64(0.1870215819053159), 'cross': np.float64(0.1444181376603761), 'throughout': np.float64(0.10001629326644584), 'aligned': np.float64(0.0975184763652931), 'around': np.float64(0.05070319254932932), 'intra': np.float64(0.04167283841464629), 'parallel': np.float64(0.041046807655816524), 'broad': np.float64(0.034144453889867483), 'towards': np.float64(0.029025636558309188), 'inter': np.float64(0.026002085336465603), 'onwards': np.float64(0.025909852441847903), 'continuously': np.float64(0.023837677853215763), 'broadly': np.float64(0.020608846131272895), 'span': np.float64(0.013432142474978993), 'bridge': np.float64(0.009284632829334288), 'axis': np.float64(0.00614201207569127), 'contemporaneously': np.float64(0.00614201207569127), 'widespread': np.float64(0.005700249685760651), 'pace': np.float64(0.00501622584221568), 'travel': np.float64(0.004506599839402566), 'ranging': np.float64(0.00408908424244274), 'cascade': np.float64(0.0015653542883477254), 'onto': np.float64(0.0015458121083329725), 'bridging': np.float64(0.00015422841299086285), 'consecutive': np.float64(9.151791034990398e-05)}"
24,"{'event': np.float64(0.6190235478260133), 'movement': np.float64(0.4588338004806669), 'effect': np.float64(0.4127265010402154), 'action': np.float64(0.24046854206131088), 'performed': np.float64(0.22024940450270947), 'role': np.float64(0.18298608507685465), 'conduct': np.float64(0.15072195516628856), 'made': np.float64(0.12506626223462214), 'execution': np.float64(0.09335558037034332), 'agency': np.float64(0.09294832229667635), 'present': np.float64(0.09217716777624985), 'actively': np.float64(0.0909592876946187), 'written': np.float64(0.07813559709307304), 'active': np.float64(0.0644655348834458), 'affected': np.float64(0.05882429043915907), 'perform': np.float64(0.05168520479950544), 'committed': np.float64(0.046553146816371516), 'acting': np.float64(0.04111958385480807), 'represented': np.float64(0.029063916234894082), 'regulated': np.float64(0.02596779312117954), 'occurred': np.float64(0.02473253018050805), 'operate': np.float64(0.024198960329607926), 'exercised': np.float64(0.012945152314208194), 'manifest': np.float64(0.011592046977147852), 'sent': np.float64(0.008733768651884325), 'staged': np.float64(0.008733768651884325), 'actor': np.float64(0.008559763222213806), 'marked': np.float64(0.008095442293778244), 'intent': np.float64(0.0065595788719393575), 'appear': np.float64(0.003699292692237614), 'worked': np.float64(0.0027390421882360614), 'acted': np.float64(0.0022066597895409883), 'delegate': np.float64(0.0022066597895409657), 'handled': np.float64(0.001262329596002149), 'signed': np.float64(6.169226585163777e-05), 'charged': np.float64(4.3230519142238256e-05)}"
